File,CuttingCount,SolveTime
File 286 R_3_CuttingScene_2024-03-18_13-05-56.log,1,64.535339
File 316 R_3_CuttingScene_2024-03-18_14-52-45.log,1,6.397315
File 317 R_3_CuttingScene_2024-03-18_14-55-55.log,1,10.506205
File 361 R_3_CuttingScene_2024-03-18_16-39-12.log,3,56.490211
File 362 R_3_CuttingScene_2024-03-18_16-45-04.log,3,58.069752
File 363 R_3_CuttingScene_2024-03-18_16-46-36.log,3,70.881058
File 364 R_3_CuttingScene_2024-03-18_16-48-48.log,1,9.061773
File 365 R_3_CuttingScene_2024-03-18_16-49-29.log,2,29.924471
File 366 R_3_CuttingScene_2024-03-18_16-51-08.log,2,29.411951
File 367 R_3_CuttingScene_2024-03-18_16-56-49.log,2,30.817894
File 368 R_3_CuttingScene_2024-03-18_16-59-01.log,4,48.316586
File 369 R_3_CuttingScene_2024-03-18_17-01-22.log,8,113.487915
File 370 R_3_CuttingScene_2024-03-18_17-03-56.log,3,60.312222
File 371 R_3_CuttingScene_2024-03-18_17-06-15.log,4,58.77417
File 372 R_3_CuttingScene_2024-03-18_17-12-02.log,2,13.633077
File 373 R_3_CuttingScene_2024-03-18_17-12-40.log,2,19.719229
File 374 R_3_CuttingScene_2024-03-18_17-13-32.log,6,90.689751
File 375 R_3_CuttingScene_2024-03-18_17-15-38.log,9,46.920357
File 376 R_3_CuttingScene_2024-03-18_17-32-49.log,7,33.34095
File 380 R_3_CuttingScene_2024-03-18_17-46-50.log,4,12.970477
File 382 R_3_CuttingScene_2024-03-18_17-48-11.log,3,8.081622
File 383 R_3_CuttingScene_2024-03-18_17-48-56.log,1,2.395053
File 385 R_3_CuttingScene_2024-03-18_17-49-36.log,3,5.335925
File 388 R_3_CuttingScene_2024-03-18_17-57-56.log,3,17.943287
File 389 R_3_CuttingScene_2024-03-18_17-59-31.log,4,23.966022
File 390 R_3_CuttingScene_2024-03-19_15-32-40.log,5,39.646301
File 391 R_3_CuttingScene_2024-03-19_15-34-31.log,6,156.239532
File 392 R_3_CuttingScene_2024-03-19_16-01-06.log,9,231.653732
File 393 R_3_CuttingScene_2024-03-22_10-05-30.log,6,95.717934
File 395 R_3_CuttingScene_2024-03-22_12-20-21.log,7,34.814251
File 404 R_3_CuttingScene_2024-03-22_12-58-13.log,8,79.245811
File 405 R_3_CuttingScene_2024-03-25_15-57-05.log,1,6.059435
File 406 R_3_CuttingScene_2024-03-25_16-04-17.log,1,3.85091
File 407 R_3_CuttingScene_2024-03-25_16-08-54.log,1,2.304685
File 408 R_3_CuttingScene_2024-03-25_16-09-22.log,1,3.705448
File 409 R_3_CuttingScene_2024-03-25_16-10-59.log,1,4.454405
File 410 R_3_CuttingScene_2024-03-25_16-11-15.log,1,2.715506
File 412 R_3_CuttingScene_2024-03-25_16-15-31.log,1,2.499357
File 413 R_3_CuttingScene_2024-03-25_16-16-53.log,1,1.86198
File 414 R_3_CuttingScene_2024-03-25_16-17-21.log,1,3.236518
File 415 R_3_CuttingScene_2024-03-25_16-17-56.log,1,2.368812
File 419 R_3_CuttingScene_2024-03-25_16-22-27.log,1,2.75022
File 420 R_3_CuttingScene_2024-03-25_16-23-48.log,1,4.1023
File 421 R_3_CuttingScene_2024-03-25_16-25-02.log,1,2.529243
File 423 R_3_CuttingScene_2024-03-25_16-27-05.log,1,3.000307
File 424 R_3_CuttingScene_2024-03-25_16-27-44.log,1,3.356282
File 425 R_3_CuttingScene_2024-03-25_16-30-07.log,1,6.44758
File 426 R_3_CuttingScene_2024-03-25_16-31-09.log,1,4.861412
File 427 R_3_CuttingScene_2024-03-25_16-32-34.log,1,2.437069
File 428 R_3_CuttingScene_2024-03-25_16-33-48.log,14,84.932884
File 431 R_3_CuttingScene_2024-03-25_16-40-46.log,1,4.169177
File 469 R_3_CuttingScene_2024-04-03_12-19-48.log,2,35.739124
File 470 R_3_CuttingScene_2024-04-03_12-20-54.log,4,39.398117
File 471 R_3_CuttingScene_2024-04-03_12-34-35.log,1,46.127243
File 473 R_3_CuttingScene_2024-04-03_12-35-55.log,1,8.324914
